"Tarih","PM10","SO2","NO2","O3"
"2020/4/5","28.88085","71.8684","14.34833",
"2020/4/5","21.2383","72.00768",,
"2020/4/5","32.64357","71.38628","18.60296",
"2020/4/5","25.22727","71.05008","19.99797",
"2020/4/5","26.94","71.23665","21.58754",
"2020/4/5","26.03226","71.34379","29.91366",
"2020/4/5","27.94062","70.93075","20.68321",
"2020/4/5","32.84399","71.24329","19.78173",
"2020/4/5","32.02964","71.76015","23.03732",
"2020/4/5","21.34268","72.00953","26.63182",
"2020/4/5","16.15552","71.59982","28.66186",
"2020/4/5","26.68254","72.1525","20.64156",
"2020/4/5","20.20822","71.67149","20.73285",
"2020/4/5","24.84441","71.77678","17.51149",
"2020/4/5","20.14873","71.48787","15.36107",
"2020/4/5","31.64306","71.50376","14.46644",
"2020/4/5","26.17872","70.65034","21.77012",
"2020/4/5","17.28006","70.99245","26.57648",
"2020/4/5","9.24894","70.21625","21.77069",
"2020/4/5","16.75106","70.78075","23.77562",
"2020/4/5","17","71.00279","18.88368",
"2020/4/5","17","70.71056","22.0862",
"2020/4/4","24.75078","71.15575","23.24386",
"2020/4/4","25","70.68137","25.24195",
"2020/4/4","34.67422","70.60379","31.90889",
"2020/4/4","48.54456","70.63963","37.96134",
"2020/4/4","46.0976","70.1394",,
"2020/4/4","37.29279","70.15159","63.77784",
"2020/4/4","27.31206","70.39616","60.55363",
"2020/4/4","27","70.61967","70.01115",
"2020/4/4","38.62606","70.77151","49.88367",
"2020/4/4","40.93768","71.01276","50.2494",
"2020/4/4","33.24929","71.04713","62.26757",
"2020/4/4","35.90665","71.17717","51.3654",
"2020/4/4","32.13334","70.97287","60.15139",
"2020/4/4","37.8227","71.58282","52.7587",
"2020/4/4","46.71919","73.07169","62.60535",
"2020/4/4","24.68281","73.33214","73.85328",
"2020/4/4","17.20716","72.98412","54.37394",
"2020/4/4","28.64541","73.25566","52.45174",
"2020/4/4","27.05747","73.2564","57.71854",
"2020/4/4","35.7323","73.01183","44.86164",
"2020/4/4","54.40793","73.36428","61.01578",
"2020/4/4","52.09348","72.72772","70.78996",
"2020/4/4","51.0312","72.41592","65.70574",
"2020/4/4","38.35591","72.50791","65.00054",
"2020/4/3","38.9661","71.97554","68.21619",
"2020/4/3","42.88162","70.77263","59.32009",
"2020/4/3","16.76226","70.39875","78.23058",
"2020/4/3","7.256776","69.7234","39.62109",
"2020/4/3","7.97017","69.76257","20.2376",
